Date,Open,High,Low,Close,Adj Close,Volume
2010-06-10,79.13999938964844,80.33999633789062,78.6500015258789,80.26000213623047,68.09249877929688,2725300
2010-06-11,79.52999877929688,80.73999786376953,78.81999969482422,80.62999725341797,68.40640258789062,2406100
2010-06-14,81.18000030517578,82.5,80.75,81.47000122070312,69.11905670166016,3507100
2010-06-15,82.0999984741211,83.1500015258789,81.62999725341797,83.01000213623047,70.52946472167969,3561500
2010-06-16,81.4000015258789,82.05000305175781,77.91999816894531,78.06999969482422,66.33218383789062,15058000
2010-06-17,78.5,78.5199966430664,77.12999725341797,78.11000061035156,66.36617279052734,7910200
2010-06-18,78.47000122070312,78.81999969482422,77.91000366210938,78.69999694824219,66.86746215820312,3733300
2010-06-21,79.69000244140625,80.08999633789062,78.0199966430664,78.58000183105469,66.76551055908203,3346100
2010-06-22,78.5199966430664,78.95999908447266,75.87999725341797,76.19999694824219,64.74336242675781,4665900
2010-06-23,76.43000030517578,77.22000122070312,75.44000244140625,76.58999633789062,65.0747299194336,4015900
2010-06-24,76.22000122070312,77.33000183105469,75.69000244140625,75.95999908447266,64.53943634033203,4112700
2010-06-25,76.12000274658203,76.23999786376953,74.41999816894531,75.95999908447266,64.53943634033203,8014300
2010-06-28,75.80000305175781,76.55000305175781,74.93000030517578,75.12999725341797,63.834228515625,3176200
2010-06-29,74.01000213623047,74.2699966430664,70.94000244140625,71.51000213623047,60.75852966308594,5349400
2010-06-30,71.47000122070312,71.9000015258789,69.9800033569336,70.11000061035156,59.56899642944336,4570400
2010-07-01,70.70999908447266,72.19000244140625,69.77999877929688,72.0,61.174835205078125,6562400
2010-07-02,72.38999938964844,72.5999984741211,71.0199966430664,71.41000366210938,60.67352294921875,4719000
2010-07-06,72.2300033569336,72.70999908447266,70.05999755859375,70.69999694824219,60.070281982421875,5745100
2010-07-07,71.0,72.91000366210938,70.56999969482422,72.88999938964844,61.93099594116211,4839800
2010-07-08,73.48999786376953,74.44000244140625,72.62999725341797,73.68000030517578,62.60225296020508,3219300
2010-07-09,73.87000274658203,74.36000061035156,72.5199966430664,74.22000122070312,63.06105422973633,3500500
2010-07-12,75.20999908447266,75.4000015258789,73.58000183105469,74.16000366210938,63.01003646850586,2902600
2010-07-13,75.16000366210938,77.68000030517578,75.11000061035156,77.29000091552734,65.66947937011719,5278600
2010-07-14,77.01000213623047,79.12000274658203,76.91000366210938,78.7300033569336,66.89298248291016,5260100
2010-07-15,78.75,78.80000305175781,76.23999786376953,77.22000122070312,65.61002349853516,3884300
2010-07-16,76.80000305175781,76.98999786376953,74.37000274658203,74.61000061035156,63.39240264892578,3024200
2010-07-19,74.91000366210938,75.22000122070312,73.69999694824219,74.98999786376953,63.71527862548828,2248000
2010-07-20,74.0999984741211,76.04000091552734,73.26000213623047,75.91000366210938,64.49695587158203,2303800
2010-07-21,76.52999877929688,76.56999969482422,73.3499984741211,74.02999877929688,62.89961624145508,3010300
2010-07-22,75.70999908447266,78.73999786376953,75.70999908447266,78.52999877929688,66.72305297851562,4490400
2010-07-23,78.48999786376953,79.0,77.56999969482422,78.95999908447266,67.08836364746094,2800400
2010-07-26,82.26000213623047,83.63999938964844,82.0,83.38999938964844,70.8523178100586,7247800
2010-07-27,84.0,84.23999786376953,81.80999755859375,82.37000274658203,69.98571014404297,3282600
2010-07-28,81.75,83.05000305175781,81.41000366210938,82.83999633789062,70.38502502441406,2931000
2010-07-29,83.47000122070312,83.68000030517578,81.1500015258789,82.06999969482422,69.73081970214844,2335400
2010-07-30,81.2300033569336,82.98999786376953,80.66999816894531,82.55000305175781,70.13861846923828,2453600
2010-08-02,83.9000015258789,84.66999816894531,83.05999755859375,84.5999984741211,71.88040161132812,2471300
2010-08-03,84.45999908447266,84.45999908447266,82.75,83.62999725341797,71.0562515258789,2350200
2010-08-04,84.0199966430664,86.08999633789062,83.75,85.95999908447266,73.03592681884766,3289500
2010-08-05,85.18000030517578,86.05000305175781,84.8499984741211,85.75,72.85752868652344,2478000
2010-08-06,84.55999755859375,85.79000091552734,84.08000183105469,85.31999969482422,72.49214935302734,1845600
2010-08-09,85.55999755859375,87.73999786376953,85.5199966430664,87.29000091552734,74.16596221923828,2915400
2010-08-10,86.44000244140625,87.47000122070312,85.7699966430664,87.0999984741211,74.00450897216797,2778100
2010-08-11,85.41999816894531,85.4800033569336,82.47000122070312,83.12999725341797,70.63142395019531,3736600
2010-08-12,81.75,82.19000244140625,80.88999938964844,81.94000244140625,69.62034606933594,3022500
2010-08-13,81.77999877929688,82.19999694824219,80.77999877929688,80.80000305175781,68.65172576904297,1967600
2010-08-16,80.18000030517578,81.5,79.87999725341797,80.9800033569336,68.8046646118164,1942900
2010-08-17,81.94999694824219,84.47000122070312,81.73999786376953,83.76000213623047,71.16670989990234,2780600
2010-08-18,83.54000091552734,84.55000305175781,82.73999786376953,84.04000091552734,71.40458679199219,2518900
2010-08-19,83.5,83.91999816894531,80.94000244140625,81.58000183105469,69.314453125,2700000
2010-08-20,81.05999755859375,81.66000366210938,79.9800033569336,81.2300033569336,69.01708221435547,2572500
2010-08-23,82.2699966430664,83.2699966430664,81.33000183105469,81.44000244140625,69.19551086425781,2622000
2010-08-24,80.26000213623047,80.69000244140625,78.12999725341797,79.08999633789062,67.19886016845703,3030200
2010-08-25,78.11000061035156,79.13999938964844,77.25,78.75,66.90994262695312,2707300
2010-08-26,78.47000122070312,80.11000061035156,78.47000122070312,78.76000213623047,66.91845703125,2316800
2010-08-27,79.51000213623047,80.56999969482422,77.88999938964844,80.45999908447266,68.36286926269531,1940900
2010-08-30,79.66999816894531,80.87000274658203,78.75,78.77999877929688,66.93545532226562,1511700
2010-08-31,78.51000213623047,79.4000015258789,77.33999633789062,78.05000305175781,66.31519317626953,2733500
2010-09-01,79.30999755859375,81.69000244140625,79.04000091552734,81.37000274658203,69.13602447509766,3479400
2010-09-02,81.51000213623047,82.1500015258789,81.01000213623047,81.72000122070312,69.43344116210938,2455400
2010-09-03,82.79000091552734,84.12000274658203,82.4800033569336,82.75,70.30857849121094,2585000
2010-09-07,82.23999786376953,82.76000213623047,81.33000183105469,81.9800033569336,69.65432739257812,1666700
2010-09-08,82.02999877929688,84.61000061035156,82.02999877929688,83.80999755859375,71.31358337402344,2311000
2010-09-09,85.12000274658203,85.86000061035156,84.12999725341797,84.27999877929688,71.71350860595703,1961400
2010-09-10,84.69999694824219,85.0,83.95999908447266,84.16000366210938,71.61141204833984,1166600
2010-09-13,85.25,86.3499984741211,84.27999877929688,84.62000274658203,72.0028076171875,2095000
2010-09-14,84.83999633789062,85.58999633789062,84.05999755859375,85.08999633789062,72.40272521972656,2184500
2010-09-15,84.86000061035156,86.30999755859375,84.5999984741211,85.94000244140625,73.12598419189453,2022100
2010-09-16,83.41000366210938,84.0,81.80000305175781,82.72000122070312,70.3861083984375,8247600
2010-09-17,82.8499984741211,82.8499984741211,81.80999755859375,82.27999877929688,70.0116958618164,3893600
2010-09-20,82.56999969482422,83.66999816894531,82.08999633789062,82.91000366210938,70.54776763916016,2491700
2010-09-21,83.22000122070312,83.75,82.41000366210938,83.62999725341797,71.16041564941406,3959000
2010-09-22,83.61000061035156,85.08000183105469,83.30999755859375,84.30000305175781,71.73052215576172,3618600
2010-09-23,83.55999755859375,84.41999816894531,82.37000274658203,82.66000366210938,70.33506774902344,2464200
2010-09-24,83.87999725341797,84.80000305175781,83.66999816894531,84.2300033569336,71.67092895507812,2383500
2010-09-27,84.61000061035156,84.87000274658203,83.94999694824219,84.06999969482422,71.5347900390625,2253600
2010-09-28,84.05999755859375,84.86000061035156,82.76000213623047,84.70999908447266,72.07937622070312,2880500
2010-09-29,84.51000213623047,86.56999969482422,84.01000213623047,86.37000274658203,73.49188232421875,5037300
2010-09-30,87.0,88.45999908447266,85.43000030517578,85.5,72.75159454345703,5114000
2010-10-01,86.41000366210938,87.41999816894531,85.2300033569336,85.63999938964844,72.8707504272461,3260800
2010-10-04,85.52999877929688,86.63999938964844,84.73999786376953,85.43000030517578,72.6920394897461,3371200
2010-10-05,86.2300033569336,88.44999694824219,86.12000274658203,87.83000183105469,74.73419189453125,3840200
2010-10-06,87.58999633789062,88.0,86.7300033569336,87.37999725341797,74.3512954711914,2108400
2010-10-07,87.6500015258789,87.68000030517578,85.93000030517578,86.73999786376953,73.80671691894531,1930500
2010-10-08,86.93000030517578,88.93000030517578,86.33999633789062,88.69000244140625,75.46597290039062,3697800
2010-10-11,88.95999908447266,88.95999908447266,88.0999984741211,88.4000015258789,75.21922302246094,1684500
2010-10-12,87.95999908447266,88.37999725341797,86.55000305175781,87.9800033569336,74.86182403564453,2255200
2010-10-13,88.55999755859375,90.62999725341797,88.26000213623047,89.75,76.36788177490234,2829700
2010-10-14,89.7300033569336,89.75,88.83999633789062,89.38999938964844,76.06158447265625,1577300
2010-10-15,90.05000305175781,90.5,88.6500015258789,89.62000274658203,76.25727081298828,2172800
2010-10-18,89.44999694824219,89.9000015258789,88.88999938964844,89.47000122070312,76.12966918945312,1953100
2010-10-19,88.19000244140625,88.70999908447266,86.43000030517578,87.13999938964844,74.14705657958984,2844400
2010-10-20,87.56999969482422,89.25,87.5,88.91999816894531,75.66168975830078,2506100
2010-10-21,88.91999816894531,89.87000274658203,87.80000305175781,88.56999969482422,75.36386108398438,1826200
2010-10-22,88.66000366210938,88.86000061035156,87.9000015258789,88.86000061035156,75.6106185913086,954600
2010-10-25,89.38999938964844,90.19999694824219,88.91999816894531,89.55999755859375,76.20624542236328,2716300
2010-10-26,88.97000122070312,90.30000305175781,88.25,89.63999938964844,76.27429962158203,1763300
2010-10-27,88.62999725341797,88.75,86.69999694824219,88.12999725341797,74.98944854736328,2352800
2010-10-28,88.69999694824219,89.18000030517578,87.56999969482422,88.83000183105469,75.58509826660156,2335900
2010-10-29,88.72000122070312,89.12999725341797,87.66999816894531,87.72000122070312,74.64057159423828,2062700
2010-11-01,87.69000244140625,88.7699966430664,86.04000091552734,86.41999816894531,73.53440856933594,2610300
2010-11-02,87.0999984741211,87.69000244140625,86.2300033569336,87.02999877929688,74.053466796875,2040700
2010-11-03,87.0,88.37999725341797,85.83999633789062,87.44000244140625,74.4023208618164,2932400
2010-11-04,88.37999725341797,89.13999938964844,87.93000030517578,88.80000305175781,75.55953979492188,3501400
2010-11-05,88.7300033569336,90.55000305175781,88.7300033569336,90.0,76.58061218261719,2527100
2010-11-08,89.18000030517578,90.45999908447266,89.05000305175781,90.30999755859375,76.84439849853516,1995900
2010-11-09,90.41999816894531,90.6500015258789,87.79000091552734,88.12000274658203,74.98096466064453,2330600
2010-11-10,88.33000183105469,88.75,87.25,88.4800033569336,75.28724670410156,1468600
2010-11-11,87.4800033569336,88.44999694824219,87.3499984741211,87.9800033569336,74.86182403564453,1831400
2010-11-12,87.38999938964844,87.75,86.7699966430664,87.31999969482422,74.30018615722656,1533900
2010-11-15,87.68000030517578,88.25,86.2300033569336,86.38999938964844,73.50889587402344,2144000
2010-11-16,85.87999725341797,86.2300033569336,84.48999786376953,85.87000274658203,73.06644439697266,2382900
2010-11-17,86.12000274658203,86.7300033569336,85.3499984741211,85.62999725341797,72.86223602294922,1745000
2010-11-18,86.76000213623047,87.58999633789062,86.13999938964844,87.08999633789062,74.20848083496094,2153600
2010-11-19,87.3499984741211,87.97000122070312,86.55000305175781,86.79000091552734,73.95288848876953,1929600
2010-11-22,86.5,87.5,85.87999725341797,87.33999633789062,74.4215316772461,2326000
2010-11-23,86.31999969482422,86.9000015258789,85.80999755859375,86.13999938964844,73.39904022216797,1614300
2010-11-24,86.86000061035156,88.5999984741211,86.58999633789062,88.47000122070312,75.38436889648438,1936900
2010-11-26,87.56999969482422,87.98999786376953,87.44000244140625,87.5,74.55789184570312,642600
2010-11-29,89.0,91.9800033569336,88.47000122070312,91.58999633789062,78.04291534423828,5127600
